# CHAOS-8.1 ionospheric field model
# Extracted on 2024-10-21 10:26:57.470206
#
# NOTE: The format of this file is identical to the AMPS model
# coefficient file, which includes both toroidal and poloidal fields.
# Since the toroidal part is not co-estimated in CHAOS-8, the
# corresponding coefficients are set to zero.
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
#
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 0.0000000       NaN -0.4163421        NaN 0.0000000       NaN  0.0205846        NaN 0.0000000       NaN -0.0398259        NaN 0.0000000       NaN  0.0222219        NaN 0.0000000       NaN -0.0047550        NaN 0.0000000       NaN -0.0084806        NaN 0.0000000       NaN  0.0020822        NaN 0.0000000       NaN -0.0026947        NaN 0.0000000       NaN -0.0022270        NaN 0.0000000       NaN  0.0009648        NaN 0.0000000       NaN  0.0008650        NaN 0.0000000       NaN  0.0006021        NaN 0.0000000       NaN -0.0451226        NaN 0.0000000       NaN  0.0096776        NaN 0.0000000       NaN  0.0276116        NaN 0.0000000       NaN  0.0001002        NaN 0.0000000       NaN  0.0011183        NaN 0.0000000       NaN  0.0005622        NaN 0.0000000       NaN  0.0188803        NaN
1  1 0.0000000 0.0000000 -0.3587763  0.2001197 0.0000000 0.0000000 -0.0170677 -0.0596001 0.0000000 0.0000000 -0.0660457 -0.0119957 0.0000000 0.0000000 -0.0015140 -0.0033957 0.0000000 0.0000000 -0.0188711  0.0381219 0.0000000 0.0000000  0.0226459 -0.0053681 0.0000000 0.0000000 -0.0445669 -0.0200476 0.0000000 0.0000000  0.0062970 -0.0054690 0.0000000 0.0000000 -0.0008593  0.0015407 0.0000000 0.0000000 -0.0022677  0.0004745 0.0000000 0.0000000 -0.0023258  0.0005586 0.0000000 0.0000000 -0.0001625  0.0004258 0.0000000 0.0000000 -0.0077329 -0.0121502 0.0000000 0.0000000  0.0106645  0.0059222 0.0000000 0.0000000  0.0133944  0.0183557 0.0000000 0.0000000  0.0008744  0.0005587 0.0000000 0.0000000 -0.0006009  0.0007399 0.0000000 0.0000000 -0.0006418 -0.0008682 0.0000000 0.0000000  0.0018282  0.0003854
2  0 0.0000000       NaN -0.7551058        NaN 0.0000000       NaN -0.0087652        NaN 0.0000000       NaN  0.0332347        NaN 0.0000000       NaN  0.0039732        NaN 0.0000000       NaN  0.0026117        NaN 0.0000000       NaN -0.0176976        NaN 0.0000000       NaN  0.0411488        NaN 0.0000000       NaN  0.0023571        NaN 0.0000000       NaN  0.0021580        NaN 0.0000000       NaN  0.0035798        NaN 0.0000000       NaN -0.0008336        NaN 0.0000000       NaN  0.0004413        NaN 0.0000000       NaN  0.0104535        NaN 0.0000000       NaN  0.0118321        NaN 0.0000000       NaN -0.0054428        NaN 0.0000000       NaN  0.0016685        NaN 0.0000000       NaN  0.0001759        NaN 0.0000000       NaN  0.0005748        NaN 0.0000000       NaN  0.0033688        NaN
2  1 0.0000000 0.0000000 -0.4335712  0.2601136 0.0000000 0.0000000 -0.0048655  0.0224538 0.0000000 0.0000000 -0.1064609  0.0018048 0.0000000 0.0000000 -0.1120480 -0.0561671 0.0000000 0.0000000 -0.0033208 -0.0157398 0.0000000 0.0000000  0.0327271 -0.0116117 0.0000000 0.0000000 -0.0052920  0.0069880 0.0000000 0.0000000  0.0016235  0.0042752 0.0000000 0.0000000 -0.0029691  0.0003986 0.0000000 0.0000000 -0.0011914 -0.0000940 0.0000000 0.0000000 -0.0005219 -0.0010734 0.0000000 0.0000000  0.0011639 -0.0001402 0.0000000 0.0000000  0.0462351  0.0238140 0.0000000 0.0000000 -0.0023397 -0.0121417 0.0000000 0.0000000 -0.0261332 -0.0266771 0.0000000 0.0000000 -0.0002839 -0.0001361 0.0000000 0.0000000  0.0001873  0.0000993 0.0000000 0.0000000  0.0000247 -0.0000345 0.0000000 0.0000000 -0.0123793 -0.0080209
2  2 0.0000000 0.0000000  0.1611500  0.0333812 0.0000000 0.0000000  0.0661152  0.1003030 0.0000000 0.0000000  0.0488622 -0.0174373 0.0000000 0.0000000  0.0170828 -0.0006658 0.0000000 0.0000000 -0.0249808 -0.0199400 0.0000000 0.0000000 -0.0001712  0.0098927 0.0000000 0.0000000  0.0087968 -0.0002736 0.0000000 0.0000000 -0.0017272  0.0016113 0.0000000 0.0000000  0.0021613 -0.0058772 0.0000000 0.0000000  0.0016044 -0.0012375 0.0000000 0.0000000  0.0010903  0.0002317 0.0000000 0.0000000 -0.0003169  0.0007275 0.0000000 0.0000000 -0.0008934  0.0170777 0.0000000 0.0000000 -0.0226416 -0.0006779 0.0000000 0.0000000 -0.0009759 -0.0251172 0.0000000 0.0000000  0.0000318 -0.0007459 0.0000000 0.0000000 -0.0007249 -0.0002170 0.0000000 0.0000000  0.0006816  0.0005984 0.0000000 0.0000000 -0.0000354 -0.0014458
3  0 0.0000000       NaN -0.7100697        NaN 0.0000000       NaN  0.0037963        NaN 0.0000000       NaN -0.0070637        NaN 0.0000000       NaN  0.0185007        NaN 0.0000000       NaN -0.0078949        NaN 0.0000000       NaN  0.0171829        NaN 0.0000000       NaN -0.0022121        NaN 0.0000000       NaN  0.0027758        NaN 0.0000000       NaN -0.0027700        NaN 0.0000000       NaN -0.0020752        NaN 0.0000000       NaN  0.0000160        NaN 0.0000000       NaN -0.0002297        NaN 0.0000000       NaN  0.0471681        NaN 0.0000000       NaN -0.0038119        NaN 0.0000000       NaN -0.0251706        NaN 0.0000000       NaN  0.0009086        NaN 0.0000000       NaN  0.0011578        NaN 0.0000000       NaN -0.0011261        NaN 0.0000000       NaN -0.0038244        NaN
3  1 0.0000000 0.0000000  0.3025954 -0.0600249 0.0000000 0.0000000 -0.0174458  0.0125683 0.0000000 0.0000000  0.0118892  0.0170096 0.0000000 0.0000000  0.0227356 -0.0022262 0.0000000 0.0000000  0.0221960 -0.0407781 0.0000000 0.0000000  0.0118420 -0.0094916 0.0000000 0.0000000 -0.0007057 -0.0069108 0.0000000 0.0000000 -0.0018123 -0.0002962 0.0000000 0.0000000 -0.0009763 -0.0041351 0.0000000 0.0000000 -0.0040512 -0.0017149 0.0000000 0.0000000  0.0007764  0.0000292 0.0000000 0.0000000 -0.0002587  0.0005553 0.0000000 0.0000000 -0.0028064  0.0083706 0.0000000 0.0000000 -0.0024012 -0.0048947 0.0000000 0.0000000  0.0042570 -0.0191386 0.0000000 0.0000000  0.0001811 -0.0016778 0.0000000 0.0000000 -0.0003443 -0.0001770 0.0000000 0.0000000 -0.0014414  0.0016217 0.0000000 0.0000000 -0.0005063  0.0001554
3  2 0.0000000 0.0000000  0.4967417 -0.1519378 0.0000000 0.0000000  0.0153854 -0.0183634 0.0000000 0.0000000  0.0370808  0.0169468 0.0000000 0.0000000  0.0125843  0.0017683 0.0000000 0.0000000  0.0051351  0.0145369 0.0000000 0.0000000 -0.0428184 -0.0140879 0.0000000 0.0000000  0.0042880 -0.0044903 0.0000000 0.0000000 -0.0001743 -0.0019116 0.0000000 0.0000000  0.0019659  0.0001213 0.0000000 0.0000000  0.0010145  0.0000210 0.0000000 0.0000000  0.0002682  0.0005629 0.0000000 0.0000000 -0.0008352 -0.0003654 0.0000000 0.0000000 -0.0251932 -0.0142957 0.0000000 0.0000000 -0.0047076  0.0126702 0.0000000 0.0000000  0.0129684  0.0109661 0.0000000 0.0000000 -0.0003092  0.0006070 0.0000000 0.0000000 -0.0006381  0.0002049 0.0000000 0.0000000  0.0002287 -0.0006137 0.0000000 0.0000000  0.0060711  0.0052803
3  3 0.0000000 0.0000000  0.0408768  0.1366910 0.0000000 0.0000000 -0.0326242 -0.0816668 0.0000000 0.0000000 -0.0883758 -0.0341401 0.0000000 0.0000000 -0.0169640 -0.0069031 0.0000000 0.0000000  0.0113661  0.0233651 0.0000000 0.0000000  0.0180727 -0.0063489 0.0000000 0.0000000  0.0033129  0.0075556 0.0000000 0.0000000 -0.0019068 -0.0028024 0.0000000 0.0000000 -0.0042506  0.0045233 0.0000000 0.0000000 -0.0007653  0.0015247 0.0000000 0.0000000 -0.0003864  0.0003078 0.0000000 0.0000000  0.0012202 -0.0007242 0.0000000 0.0000000 -0.0091493 -0.0104499 0.0000000 0.0000000  0.0099943  0.0088027 0.0000000 0.0000000  0.0095284  0.0142155 0.0000000 0.0000000 -0.0005502 -0.0000471 0.0000000 0.0000000  0.0007889  0.0004098 0.0000000 0.0000000  0.0001846  0.0003985 0.0000000 0.0000000 -0.0000252 -0.0002067
4  0 0.0000000       NaN -0.1481900        NaN 0.0000000       NaN -0.0093810        NaN 0.0000000       NaN -0.0161904        NaN 0.0000000       NaN  0.0147130        NaN 0.0000000       NaN  0.0311153        NaN 0.0000000       NaN -0.0026958        NaN 0.0000000       NaN  0.0075546        NaN 0.0000000       NaN -0.0001578        NaN 0.0000000       NaN -0.0007138        NaN 0.0000000       NaN  0.0030502        NaN 0.0000000       NaN  0.0001029        NaN 0.0000000       NaN  0.0015432        NaN 0.0000000       NaN  0.0188789        NaN 0.0000000       NaN  0.0266241        NaN 0.0000000       NaN -0.0058821        NaN 0.0000000       NaN  0.0007270        NaN 0.0000000       NaN  0.0001587        NaN 0.0000000       NaN  0.0004773        NaN 0.0000000       NaN  0.0020788        NaN
