Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2019.5 E K100 70.3 30.8    15d 10m    79d  2m    9913.1   9568.0   2592.9  51193.0  52144.0    13.0       1.3        -14.3    -23.6     32.6     29.8     26.5
2018 E K100 70.3 30.8    14d 50m    79d  0m    9934.7   9603.4   2544.1  51148.4  52104.2    13.0       1.3        -14.5    -23.6     32.6     29.8     26.5
2017.5 M K470 70.3 30.8    11d 50m    78d 56m    8581.7   8399.4   1759.4  43880.3  44711.6    13.0       1.3        -12.9    -19.2     29.0     21.8     18.9
2016.5 E M1042 70.3 30.8    15d 24m    78d 59m   10368.4   9996.4   2752.4  53280.8  54280.2    12.9       1.3        -15.1    -25.0     33.6     32.5     29.0
2015.5 E F30000 70.3 30.8    15d  6m    78d 58m   10349.0   9991.5   2696.8  53066.1  54065.8    12.9       1.3        -15.3    -24.8     33.5     32.3     28.8
2018.7 E F30000 -70.3 -30.8     0d -48m   -60d 18m   18893.4  18891.6   -262.2 -33119.1  38129.2    -2.1       1.5        -26.0    -26.2    -11.1     78.9    -81.5
2018.7 E F30000 -70 -30    -1d 21m   -60d 10m   18818.5  18813.2   -445.1 -32818.3  37830.9    -2.0       1.5        -26.3    -26.6    -10.4     78.6    -81.3
2018.7 E F30000 43 -30   -10d 20m    58d 48m   23712.4  23327.7  -4253.9  39156.2  45776.5     9.7      -3.5         33.1     44.5     59.6    -36.3    -14.0
2018 E F30000 43 -54   -16d 60m    63d 21m   21899.6  20942.9  -6402.0  43624.3  48812.6     9.1      -5.5         39.7     54.9     43.6    -94.0    -66.2
2018 E K1.3 48.123 16.123     4d 10m    64d 29m   20942.1  20886.9   1519.7  43877.1  48618.6     7.1       0.3          8.8      5.6     43.9     29.7     30.6
2019 E K1.3 48.123 16.123     4d 17m    64d 29m   20950.9  20892.5   1563.7  43906.8  48649.2     7.1       0.3          8.9      5.6     43.9     29.7     30.6
2019.8849 E K1.3 48.123 16.123     4d 23m    64d 30m   20958.9  20897.5   1602.6  43933.1  48676.3     7.1       0.3          9.0      5.6     43.9     29.7     30.7
